arXiv,0,0
Physics,0,15
Astrophysics,8,155
Condensed Matter,2,44
General Relativity and Quantum Cosmology,3,19
High Energy Physics - Experiment,9,35
High Energy Physics - Lattice,2,33
High Energy Physics - Phenomenology,2,30
High Energy Physics - Theory,4,23
Mathematical Physics,0,20
Nonlinear Sciences,5,30
Adaption and Self-Organizing Systems,5,17
Chaotic Dynamics,4,62
Cellular Automata and Lattice Gases,1,60
Pattern Formation and Solutions,3,62
Exactly Solvable and Integrable Systems,3,84
Nuclear Experiment,5,32
Nuclear Theory,0,12
Quantum Physics,5,31
Computer Science,5,35
Mathematics,1,18
Quantitative Biology,5,35

