arXiv,0,0
Physics,0,3
Astrophysics,5,3
Condensed Matter,0,6
General Relativity and Quantum Cosmology,11,38
High Energy Physics - Experiment,9,101
High Energy Physics - Lattice,3,53
High Energy Physics - Phenomenology,1,19
High Energy Physics - Theory,10,90
Mathematical Physics,1,9
Nonlinear Sciences,0,14
Adaption and Self-Organizing Systems,12,74
Chaotic Dynamics,0,8
Cellular Automata and Lattice Gases,2,38
Pattern Formation and Solutions,14,89
Exactly Solvable and Integrable Systems,17,153
Nuclear Experiment,3,14
Nuclear Theory,1,22
Quantum Physics,3,4
Computer Science,7,66
Mathematics,0,1
Quantitative Biology,10,10

