arXiv,0,0
Physics,0,7
Astrophysics,6,8
Condensed Matter,0,9
General Relativity and Quantum Cosmology,10,29
High Energy Physics - Experiment,19,135
High Energy Physics - Lattice,6,82
High Energy Physics - Phenomenology,2,12
High Energy Physics - Theory,4,49
Mathematical Physics,2,20
Nonlinear Sciences,1,21
Adaption and Self-Organizing Systems,13,91
Chaotic Dynamics,1,15
Cellular Automata and Lattice Gases,1,40
Pattern Formation and Solutions,8,112
Exactly Solvable and Integrable Systems,5,89
Nuclear Experiment,2,9
Nuclear Theory,1,10
Quantum Physics,5,11
Computer Science,6,60
Mathematics,2,5
Quantitative Biology,7,9

