category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 137, 1711, 737, 0.07413419913419914, 0.15675057208237986, 0.10066127847171197
-1, macroaverage, 137, 1711, 737, 0.07574198457933609, 0.16857142857142862, 0.10452094609717369
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 1, 43, 9, 0.022727272727272728, 0.1, 0.037037037037037035
2, Astrophysics , 17, 121, 33, 0.12318840579710146, 0.34, 0.18085106382978727
3, Condensed Matter , 2, 49, 8, 0.0392156862745098, 0.2, 0.06557377049180327
4, General Relativity and Quantum Cosmology , 5, 66, 45, 0.07042253521126761, 0.1, 0.08264462809917357
5, High Energy Physics - Experiment , 9, 101, 41, 0.08181818181818182, 0.18, 0.11249999999999998
6, High Energy Physics - Lattice , 4, 119, 46, 0.032520325203252036, 0.08, 0.046242774566474
7, High Energy Physics - Phenomenology , 3, 53, 47, 0.05357142857142857, 0.06, 0.05660377358490565
8, High Energy Physics - Theory , 4, 78, 46, 0.04878048780487805, 0.08, 0.06060606060606061
9, Mathematical Physics , 4, 51, 36, 0.07272727272727272, 0.1, 0.08421052631578947
10, Nonlinear Sciences , 2, 84, 48, 0.023255813953488372, 0.04, 0.029411764705882356
11, Adaption and Self-Organizing Systems , 8, 70, 42, 0.10256410256410256, 0.16, 0.125
12, Chaotic Dynamics , 1, 91, 9, 0.010869565217391304, 0.1, 0.0196078431372549
13, Cellular Automata and Lattice Gases , 2, 166, 2, 0.011904761904761904, 0.5, 0.023255813953488372
14, Pattern Formation and Solutions , 10, 122, 40, 0.07575757575757576, 0.2, 0.10989010989010989
15, Exactly Solvable and Integrable Systems , 12, 117, 38, 0.09302325581395349, 0.24, 0.1340782122905028
16, Nuclear Experiment , 8, 71, 42, 0.10126582278481013, 0.16, 0.12403100775193798
17, Nuclear Theory , 4, 42, 46, 0.08695652173913043, 0.08, 0.08333333333333333
18, Quantum Physics , 12, 87, 38, 0.12121212121212122, 0.24, 0.1610738255033557
19, Computer Science , 9, 63, 41, 0.125, 0.18, 0.14754098360655737
20, Mathematics , 8, 45, 42, 0.1509433962264151, 0.16, 0.1553398058252427
21, Quantitative Biology , 12, 72, 38, 0.14285714285714285, 0.24, 0.1791044776119403
