category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 183, 1665, 691, 0.09902597402597403, 0.20938215102974828, 0.13445995591476856
-1, macroaverage, 183, 1665, 691, 0.11952075229678123, 0.19047619047619052, 0.14687794903198131
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 0, 11, 10, 0.0, 0.0, 0.0
2, Astrophysics , 14, 18, 36, 0.4375, 0.28, 0.34146341463414637
3, Condensed Matter , 1, 21, 9, 0.045454545454545456, 0.1, 0.06250000000000001
4, General Relativity and Quantum Cosmology , 13, 73, 37, 0.1511627906976744, 0.26, 0.19117647058823528
5, High Energy Physics - Experiment , 32, 230, 18, 0.12213740458015267, 0.64, 0.20512820512820512
6, High Energy Physics - Lattice , 13, 182, 37, 0.06666666666666667, 0.26, 0.10612244897959183
7, High Energy Physics - Phenomenology , 2, 34, 48, 0.05555555555555555, 0.04, 0.046511627906976744
8, High Energy Physics - Theory , 11, 140, 39, 0.0728476821192053, 0.22, 0.10945273631840795
9, Mathematical Physics , 6, 49, 34, 0.10909090909090909, 0.15, 0.1263157894736842
10, Nonlinear Sciences , 1, 45, 49, 0.021739130434782608, 0.02, 0.020833333333333332
11, Adaption and Self-Organizing Systems , 20, 157, 30, 0.11299435028248588, 0.4, 0.1762114537444934
12, Chaotic Dynamics , 0, 49, 10, 0.0, 0.0, 0.0
13, Cellular Automata and Lattice Gases , 1, 87, 3, 0.011363636363636364, 0.25, 0.02173913043478261
14, Pattern Formation and Solutions , 14, 193, 36, 0.06763285024154589, 0.28, 0.10894941634241245
15, Exactly Solvable and Integrable Systems , 13, 131, 37, 0.09027777777777778, 0.26, 0.13402061855670103
16, Nuclear Experiment , 5, 40, 45, 0.1111111111111111, 0.1, 0.10526315789473685
17, Nuclear Theory , 3, 29, 47, 0.09375, 0.06, 0.07317073170731707
18, Quantum Physics , 8, 41, 42, 0.16326530612244897, 0.16, 0.1616161616161616
19, Computer Science , 8, 103, 42, 0.07207207207207207, 0.16, 0.09937888198757763
20, Mathematics , 6, 17, 44, 0.2608695652173913, 0.12, 0.1643835616438356
21, Quantitative Biology , 12, 15, 38, 0.4444444444444444, 0.24, 0.3116883116883117
