category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 194, 1107, 680, 0.1491160645657187, 0.2219679633867277, 0.17839080459770115
-1, macroaverage, 194, 1107, 680, 0.22138737779623874, 0.23380952380952386, 0.22742895304154873
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 6, 382, 4, 0.015463917525773196, 0.6, 0.03015075376884422
2, Astrophysics , 23, 14, 27, 0.6216216216216216, 0.46, 0.5287356321839081
3, Condensed Matter , 1, 16, 9, 0.058823529411764705, 0.1, 0.07407407407407408
4, General Relativity and Quantum Cosmology , 0, 0, 50, 0.0, 0.0, 0.0
5, High Energy Physics - Experiment , 27, 99, 23, 0.21428571428571427, 0.54, 0.3068181818181818
6, High Energy Physics - Lattice , 0, 11, 50, 0.0, 0.0, 0.0
7, High Energy Physics - Phenomenology , 6, 8, 44, 0.42857142857142855, 0.12, 0.1875
8, High Energy Physics - Theory , 2, 77, 48, 0.02531645569620253, 0.04, 0.031007751937984496
9, Mathematical Physics , 14, 95, 26, 0.12844036697247707, 0.35, 0.18791946308724833
10, Nonlinear Sciences , 4, 47, 46, 0.0784313725490196, 0.08, 0.0792079207920792
11, Adaption and Self-Organizing Systems , 0, 0, 50, 0.0, 0.0, 0.0
12, Chaotic Dynamics , 5, 76, 5, 0.06172839506172839, 0.5, 0.10989010989010987
13, Cellular Automata and Lattice Gases , 0, 0, 4, 0.0, 0.0, 0.0
14, Pattern Formation and Solutions , 11, 5, 39, 0.6875, 0.22, 0.3333333333333333
15, Exactly Solvable and Integrable Systems , 2, 1, 48, 0.6666666666666666, 0.04, 0.07547169811320754
16, Nuclear Experiment , 5, 13, 45, 0.2777777777777778, 0.1, 0.14705882352941177
17, Nuclear Theory , 3, 13, 47, 0.1875, 0.06, 0.09090909090909091
18, Quantum Physics , 8, 73, 42, 0.09876543209876543, 0.16, 0.12213740458015267
19, Computer Science , 37, 31, 13, 0.5441176470588235, 0.74, 0.6271186440677965
20, Mathematics , 34, 135, 16, 0.20118343195266272, 0.68, 0.3105022831050228
21, Quantitative Biology , 6, 11, 44, 0.35294117647058826, 0.12, 0.1791044776119403
