category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 207, 999, 667, 0.17164179104477612, 0.23684210526315788, 0.1990384615384615
-1, macroaverage, 207, 999, 667, 0.25320032967725825, 0.24071428571428574, 0.24679948558544457
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 3, 290, 7, 0.010238907849829351, 0.3, 0.019801980198019802
2, Astrophysics , 26, 21, 24, 0.5531914893617021, 0.52, 0.536082474226804
3, Condensed Matter , 3, 5, 7, 0.375, 0.3, 0.33333333333333326
4, General Relativity and Quantum Cosmology , 0, 0, 50, 0.0, 0.0, 0.0
5, High Energy Physics - Experiment , 9, 20, 41, 0.3103448275862069, 0.18, 0.22784810126582278
6, High Energy Physics - Lattice , 0, 6, 50, 0.0, 0.0, 0.0
7, High Energy Physics - Phenomenology , 10, 14, 40, 0.4166666666666667, 0.2, 0.2702702702702703
8, High Energy Physics - Theory , 3, 59, 47, 0.04838709677419355, 0.06, 0.05357142857142857
9, Mathematical Physics , 7, 45, 33, 0.1346153846153846, 0.175, 0.15217391304347824
10, Nonlinear Sciences , 1, 14, 49, 0.06666666666666667, 0.02, 0.030769230769230767
11, Adaption and Self-Organizing Systems , 0, 0, 50, 0.0, 0.0, 0.0
12, Chaotic Dynamics , 5, 67, 5, 0.06944444444444445, 0.5, 0.12195121951219513
13, Cellular Automata and Lattice Gases , 0, 0, 4, 0.0, 0.0, 0.0
14, Pattern Formation and Solutions , 11, 4, 39, 0.7333333333333333, 0.22, 0.3384615384615385
15, Exactly Solvable and Integrable Systems , 4, 6, 46, 0.4, 0.08, 0.13333333333333333
16, Nuclear Experiment , 3, 7, 47, 0.3, 0.06, 0.09999999999999999
17, Nuclear Theory , 6, 17, 44, 0.2608695652173913, 0.12, 0.1643835616438356
18, Quantum Physics , 43, 307, 7, 0.12285714285714286, 0.86, 0.215
19, Computer Science , 34, 26, 16, 0.5666666666666667, 0.68, 0.6181818181818183
20, Mathematics , 35, 89, 15, 0.28225806451612906, 0.7, 0.4022988505747127
21, Quantitative Biology , 4, 2, 46, 0.6666666666666666, 0.08, 0.14285714285714285
