category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 210, 2562, 664, 0.07575757575757576, 0.2402745995423341, 0.11519473395501921
-1, macroaverage, 210, 2562, 664, 0.07730116564634912, 0.24666666666666665, 0.11771305023277598
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 2, 109, 8, 0.018018018018018018, 0.2, 0.033057851239669415
2, Astrophysics , 31, 192, 19, 0.13901345291479822, 0.62, 0.2271062271062271
3, Condensed Matter , 1, 62, 9, 0.015873015873015872, 0.1, 0.0273972602739726
4, General Relativity and Quantum Cosmology , 9, 78, 41, 0.10344827586206896, 0.18, 0.13138686131386862
5, High Energy Physics - Experiment , 18, 165, 32, 0.09836065573770492, 0.36, 0.15450643776824033
6, High Energy Physics - Lattice , 14, 275, 36, 0.04844290657439446, 0.28, 0.08259587020648967
7, High Energy Physics - Phenomenology , 9, 116, 41, 0.072, 0.18, 0.10285714285714286
8, High Energy Physics - Theory , 12, 94, 38, 0.11320754716981132, 0.24, 0.15384615384615385
9, Mathematical Physics , 8, 108, 32, 0.06896551724137931, 0.2, 0.10256410256410257
10, Nonlinear Sciences , 5, 70, 45, 0.06666666666666667, 0.1, 0.08
11, Adaption and Self-Organizing Systems , 7, 38, 43, 0.15555555555555556, 0.14, 0.1473684210526316
12, Chaotic Dynamics , 3, 86, 7, 0.033707865168539325, 0.3, 0.0606060606060606
13, Cellular Automata and Lattice Gases , 2, 227, 2, 0.008733624454148471, 0.5, 0.017167381974248927
14, Pattern Formation and Solutions , 15, 172, 35, 0.08021390374331551, 0.3, 0.12658227848101267
15, Exactly Solvable and Integrable Systems , 14, 220, 36, 0.05982905982905983, 0.28, 0.09859154929577464
16, Nuclear Experiment , 14, 114, 36, 0.109375, 0.28, 0.15730337078651685
17, Nuclear Theory , 0, 42, 50, 0.0, 0.0, 0.0
18, Quantum Physics , 7, 107, 43, 0.06140350877192982, 0.14, 0.08536585365853658
19, Computer Science , 15, 129, 35, 0.10416666666666667, 0.3, 0.15463917525773196
20, Mathematics , 11, 86, 39, 0.1134020618556701, 0.22, 0.14965986394557823
21, Quantitative Biology , 13, 72, 37, 0.15294117647058825, 0.26, 0.1925925925925926
