category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 318, 4302, 556, 0.06883116883116883, 0.36384439359267734, 0.11576265016381505
-1, macroaverage, 318, 4302, 556, 0.07020693767730572, 0.3709523809523809, 0.11806814269124884
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 3, 263, 7, 0.011278195488721804, 0.3, 0.021739130434782605
2, Astrophysics , 36, 291, 14, 0.11009174311926606, 0.72, 0.19098143236074272
3, Condensed Matter , 2, 103, 8, 0.01904761904761905, 0.2, 0.03478260869565218
4, General Relativity and Quantum Cosmology , 20, 191, 30, 0.0947867298578199, 0.4, 0.15325670498084293
5, High Energy Physics - Experiment , 24, 280, 26, 0.07894736842105263, 0.48, 0.13559322033898302
6, High Energy Physics - Lattice , 20, 378, 30, 0.05025125628140704, 0.4, 0.0892857142857143
7, High Energy Physics - Phenomenology , 8, 168, 42, 0.045454545454545456, 0.16, 0.07079646017699115
8, High Energy Physics - Theory , 15, 195, 35, 0.07142857142857142, 0.3, 0.11538461538461536
9, Mathematical Physics , 20, 202, 20, 0.09009009009009009, 0.5, 0.15267175572519084
10, Nonlinear Sciences , 14, 196, 36, 0.06666666666666667, 0.28, 0.1076923076923077
11, Adaption and Self-Organizing Systems , 13, 77, 37, 0.14444444444444443, 0.26, 0.1857142857142857
12, Chaotic Dynamics , 3, 151, 7, 0.01948051948051948, 0.3, 0.036585365853658534
13, Cellular Automata and Lattice Gases , 3, 276, 1, 0.010752688172043012, 0.75, 0.021201413427561835
14, Pattern Formation and Solutions , 23, 280, 27, 0.07590759075907591, 0.46, 0.13031161473087818
15, Exactly Solvable and Integrable Systems , 15, 248, 35, 0.057034220532319393, 0.3, 0.09584664536741215
16, Nuclear Experiment , 13, 156, 37, 0.07692307692307693, 0.26, 0.1187214611872146
17, Nuclear Theory , 7, 113, 43, 0.058333333333333334, 0.14, 0.08235294117647059
18, Quantum Physics , 18, 208, 32, 0.07964601769911504, 0.36, 0.13043478260869565
19, Computer Science , 16, 190, 34, 0.07766990291262135, 0.32, 0.12499999999999999
20, Mathematics , 21, 168, 29, 0.1111111111111111, 0.42, 0.17573221757322174
21, Quantitative Biology , 24, 168, 26, 0.125, 0.48, 0.19834710743801653
