category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 251, 4369, 623, 0.05432900432900433, 0.28718535469107553, 0.09137240626137605
-1, macroaverage, 251, 4369, 623, 0.056387440034144094, 0.3033333333333334, 0.09509703864790353
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 2, 168, 8, 0.011764705882352941, 0.2, 0.022222222222222223
2, Astrophysics , 20, 331, 30, 0.05698005698005698, 0.4, 0.09975062344139651
3, Condensed Matter , 3, 223, 7, 0.01327433628318584, 0.3, 0.02542372881355932
4, General Relativity and Quantum Cosmology , 10, 139, 40, 0.06711409395973154, 0.2, 0.10050251256281408
5, High Energy Physics - Experiment , 23, 189, 27, 0.10849056603773585, 0.46, 0.17557251908396948
6, High Energy Physics - Lattice , 11, 248, 39, 0.04247104247104247, 0.22, 0.07119741100323625
7, High Energy Physics - Phenomenology , 11, 173, 39, 0.059782608695652176, 0.22, 0.09401709401709402
8, High Energy Physics - Theory , 12, 165, 38, 0.06779661016949153, 0.24, 0.10572687224669604
9, Mathematical Physics , 4, 123, 36, 0.031496062992125984, 0.1, 0.04790419161676646
10, Nonlinear Sciences , 18, 240, 32, 0.06976744186046512, 0.36, 0.11688311688311688
11, Adaption and Self-Organizing Systems , 12, 135, 38, 0.08163265306122448, 0.24, 0.1218274111675127
12, Chaotic Dynamics , 3, 300, 7, 0.009900990099009901, 0.3, 0.019169329073482427
13, Cellular Automata and Lattice Gases , 3, 319, 1, 0.009316770186335404, 0.75, 0.018404907975460124
14, Pattern Formation and Solutions , 9, 235, 41, 0.036885245901639344, 0.18, 0.06122448979591837
15, Exactly Solvable and Integrable Systems , 22, 316, 28, 0.0650887573964497, 0.44, 0.1134020618556701
16, Nuclear Experiment , 19, 200, 31, 0.0867579908675799, 0.38, 0.14126394052044608
17, Nuclear Theory , 6, 151, 44, 0.03821656050955414, 0.12, 0.057971014492753624
18, Quantum Physics , 20, 218, 30, 0.08403361344537816, 0.4, 0.1388888888888889
19, Computer Science , 14, 135, 36, 0.09395973154362416, 0.28, 0.14070351758793972
20, Mathematics , 14, 164, 36, 0.07865168539325842, 0.28, 0.12280701754385967
21, Quantitative Biology , 15, 197, 35, 0.07075471698113207, 0.3, 0.11450381679389313
