category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 341, 4279, 533, 0.07380952380952381, 0.3901601830663616, 0.1241354204586822
-1, macroaverage, 341, 4279, 533, 0.08952364068755592, 0.38309523809523816, 0.14513207992317023
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 1, 76, 9, 0.012987012987012988, 0.1, 0.02298850574712644
2, Astrophysics , 13, 39, 37, 0.25, 0.26, 0.2549019607843137
3, Condensed Matter , 3, 53, 7, 0.05357142857142857, 0.3, 0.09090909090909091
4, General Relativity and Quantum Cosmology , 19, 235, 31, 0.07480314960629922, 0.38, 0.12500000000000003
5, High Energy Physics - Experiment , 34, 426, 16, 0.07391304347826087, 0.68, 0.13333333333333336
6, High Energy Physics - Lattice , 20, 304, 30, 0.06172839506172839, 0.4, 0.106951871657754
7, High Energy Physics - Phenomenology , 9, 124, 41, 0.06766917293233082, 0.18, 0.09836065573770492
8, High Energy Physics - Theory , 35, 587, 15, 0.05627009646302251, 0.7, 0.10416666666666666
9, Mathematical Physics , 11, 98, 29, 0.10091743119266056, 0.275, 0.1476510067114094
10, Nonlinear Sciences , 8, 152, 42, 0.05, 0.16, 0.07619047619047618
11, Adaption and Self-Organizing Systems , 28, 269, 22, 0.09427609427609428, 0.56, 0.16138328530259366
12, Chaotic Dynamics , 2, 70, 8, 0.027777777777777776, 0.2, 0.048780487804878044
13, Cellular Automata and Lattice Gases , 3, 289, 1, 0.010273972602739725, 0.75, 0.020270270270270268
14, Pattern Formation and Solutions , 28, 377, 22, 0.0691358024691358, 0.56, 0.12307692307692307
15, Exactly Solvable and Integrable Systems , 32, 406, 18, 0.0730593607305936, 0.64, 0.13114754098360656
16, Nuclear Experiment , 18, 144, 32, 0.1111111111111111, 0.36, 0.16981132075471697
17, Nuclear Theory , 10, 188, 40, 0.050505050505050504, 0.2, 0.08064516129032259
18, Quantum Physics , 10, 99, 40, 0.09174311926605505, 0.2, 0.12578616352201258
19, Computer Science , 25, 226, 25, 0.099601593625498, 0.5, 0.1661129568106312
20, Mathematics , 15, 41, 35, 0.26785714285714285, 0.3, 0.2830188679245283
21, Quantitative Biology , 17, 76, 33, 0.1827956989247312, 0.34, 0.23776223776223776
