category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 606, 3959, 268, 0.13274917853231105, 0.6933638443935927, 0.2228350799779371
-1, macroaverage, 606, 3959, 268, 0.1573326500436899, 0.6735714285714286, 0.25508306091718014
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 2, 82, 8, 0.023809523809523808, 0.2, 0.0425531914893617
2, Astrophysics , 15, 23, 35, 0.39473684210526316, 0.3, 0.34090909090909094
3, Condensed Matter , 3, 96, 7, 0.030303030303030304, 0.3, 0.055045871559633024
4, General Relativity and Quantum Cosmology , 33, 211, 17, 0.13524590163934427, 0.66, 0.22448979591836737
5, High Energy Physics - Experiment , 43, 373, 7, 0.10336538461538461, 0.86, 0.18454935622317598
6, High Energy Physics - Lattice , 50, 472, 0, 0.09578544061302682, 1.0, 0.17482517482517484
7, High Energy Physics - Phenomenology , 37, 320, 13, 0.10364145658263306, 0.74, 0.18181818181818182
8, High Energy Physics - Theory , 45, 406, 5, 0.09977827050997783, 0.9, 0.17964071856287425
9, Mathematical Physics , 13, 75, 27, 0.14772727272727273, 0.325, 0.203125
10, Nonlinear Sciences , 26, 152, 24, 0.14606741573033707, 0.52, 0.22807017543859648
11, Adaption and Self-Organizing Systems , 34, 228, 16, 0.1297709923664122, 0.68, 0.21794871794871795
12, Chaotic Dynamics , 8, 176, 2, 0.043478260869565216, 0.8, 0.08247422680412371
13, Cellular Automata and Lattice Gases , 4, 169, 0, 0.023121387283236993, 1.0, 0.04519774011299435
14, Pattern Formation and Solutions , 42, 262, 8, 0.13815789473684212, 0.84, 0.23728813559322037
15, Exactly Solvable and Integrable Systems , 46, 235, 4, 0.16370106761565836, 0.92, 0.2779456193353474
16, Nuclear Experiment , 47, 142, 3, 0.24867724867724866, 0.94, 0.3933054393305439
17, Nuclear Theory , 30, 202, 20, 0.12931034482758622, 0.6, 0.21276595744680854
18, Quantum Physics , 39, 125, 11, 0.23780487804878048, 0.78, 0.3644859813084112
19, Computer Science , 36, 95, 14, 0.2748091603053435, 0.72, 0.39779005524861877
20, Mathematics , 30, 68, 20, 0.30612244897959184, 0.6, 0.40540540540540543
21, Quantitative Biology , 23, 47, 27, 0.32857142857142857, 0.46, 0.38333333333333336
