category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 275, 1574, 599, 0.14872904272579773, 0.3146453089244851, 0.20198310686742563
-1, macroaverage, 275, 1574, 599, 0.3020989678889124, 0.32690476190476186, 0.3140127363053751
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 6, 565, 4, 0.010507880910683012, 0.6, 0.020654044750430294
2, Astrophysics , 35, 115, 15, 0.23333333333333334, 0.7, 0.35
3, Condensed Matter , 1, 4, 9, 0.2, 0.1, 0.13333333333333333
4, General Relativity and Quantum Cosmology , 1, 1, 49, 0.5, 0.02, 0.038461538461538464
5, High Energy Physics - Experiment , 21, 82, 29, 0.20388349514563106, 0.42, 0.27450980392156865
6, High Energy Physics - Lattice , 18, 32, 32, 0.36, 0.36, 0.36
7, High Energy Physics - Phenomenology , 11, 17, 39, 0.39285714285714285, 0.22, 0.28205128205128205
8, High Energy Physics - Theory , 2, 33, 48, 0.05714285714285714, 0.04, 0.04705882352941177
9, Mathematical Physics , 19, 146, 21, 0.11515151515151516, 0.475, 0.1853658536585366
10, Nonlinear Sciences , 8, 66, 42, 0.10810810810810811, 0.16, 0.12903225806451613
11, Adaption and Self-Organizing Systems , 1, 0, 49, 1.0, 0.02, 0.0392156862745098
12, Chaotic Dynamics , 6, 60, 4, 0.09090909090909091, 0.6, 0.15789473684210525
13, Cellular Automata and Lattice Gases , 1, 1, 3, 0.5, 0.25, 0.3333333333333333
14, Pattern Formation and Solutions , 14, 13, 36, 0.5185185185185185, 0.28, 0.36363636363636365
15, Exactly Solvable and Integrable Systems , 3, 5, 47, 0.375, 0.06, 0.10344827586206896
16, Nuclear Experiment , 6, 14, 44, 0.3, 0.12, 0.17142857142857143
17, Nuclear Theory , 3, 13, 47, 0.1875, 0.06, 0.09090909090909091
18, Quantum Physics , 31, 184, 19, 0.14418604651162792, 0.62, 0.23396226415094343
19, Computer Science , 37, 52, 13, 0.4157303370786517, 0.74, 0.5323741007194244
20, Mathematics , 38, 154, 12, 0.19791666666666666, 0.76, 0.3140495867768595
21, Quantitative Biology , 13, 17, 37, 0.43333333333333335, 0.26, 0.325
