category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 275, 1189, 599, 0.1878415300546448, 0.3146453089244851, 0.23524379811804957
-1, macroaverage, 275, 1189, 599, 0.3389543845240417, 0.3419047619047619, 0.3404231807566267
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 5, 323, 5, 0.01524390243902439, 0.5, 0.029585798816568046
2, Astrophysics , 35, 86, 15, 0.2892561983471074, 0.7, 0.4093567251461988
3, Condensed Matter , 1, 9, 9, 0.1, 0.1, 0.10000000000000002
4, General Relativity and Quantum Cosmology , 8, 0, 42, 1.0, 0.16, 0.2758620689655173
5, High Energy Physics - Experiment , 26, 80, 24, 0.24528301886792453, 0.52, 0.3333333333333333
6, High Energy Physics - Lattice , 20, 51, 30, 0.28169014084507044, 0.4, 0.3305785123966943
7, High Energy Physics - Phenomenology , 8, 6, 42, 0.5714285714285714, 0.16, 0.25
8, High Energy Physics - Theory , 11, 60, 39, 0.15492957746478872, 0.22, 0.18181818181818182
9, Mathematical Physics , 6, 31, 34, 0.16216216216216217, 0.15, 0.15584415584415584
10, Nonlinear Sciences , 4, 37, 46, 0.0975609756097561, 0.08, 0.08791208791208793
11, Adaption and Self-Organizing Systems , 1, 0, 49, 1.0, 0.02, 0.0392156862745098
12, Chaotic Dynamics , 6, 69, 4, 0.08, 0.6, 0.14117647058823532
13, Cellular Automata and Lattice Gases , 3, 1, 1, 0.75, 0.75, 0.75
14, Pattern Formation and Solutions , 17, 9, 33, 0.6538461538461539, 0.34, 0.4473684210526316
15, Exactly Solvable and Integrable Systems , 2, 9, 48, 0.18181818181818182, 0.04, 0.06557377049180327
16, Nuclear Experiment , 7, 17, 43, 0.2916666666666667, 0.14, 0.1891891891891892
17, Nuclear Theory , 5, 32, 45, 0.13513513513513514, 0.1, 0.11494252873563218
18, Quantum Physics , 29, 158, 21, 0.15508021390374332, 0.58, 0.24472573839662448
19, Computer Science , 40, 60, 10, 0.4, 0.8, 0.5333333333333333
20, Mathematics , 35, 140, 15, 0.2, 0.7, 0.3111111111111111
21, Quantitative Biology , 6, 11, 44, 0.35294117647058826, 0.12, 0.1791044776119403
