category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 242, 668, 632, 0.26593406593406593, 0.2768878718535469, 0.2713004484304933
-1, macroaverage, 242, 668, , 632, 0.2884607336476199, 0.25636363636363635, 0.27146672100771974
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 0, 2, 10, 0.0, 0.0, 0.0
2, Astrophysics , 5, 1, 45, 0.8333333333333334, 0.1, 0.17857142857142858
3, Condensed Matter , 1, 26, 9, 0.037037037037037035, 0.1, 0.05405405405405406
4, General Relativity and Quantum Cosmology , 17, 70, 33, 0.19540229885057472, 0.34, 0.24817518248175185
5, High Energy Physics - Experiment , 43, 160, 7, 0.21182266009852216, 0.86, 0.33992094861660077
6, High Energy Physics - Lattice , 46, 40, 4, 0.5348837209302325, 0.92, 0.6764705882352942
7, High Energy Physics - Phenomenology , 5, 3, 45, 0.625, 0.1, 0.1724137931034483
8, High Energy Physics - Theory , 18, 18, 32, 0.5, 0.36, 0.41860465116279066
9, Mathematical Physics , 2, 4, 38, 0.3333333333333333, 0.05, 0.08695652173913045
10, Nonlinear Sciences , 7, 36, 43, 0.16279069767441862, 0.14, 0.15053763440860218
11, Adaption and Self-Organizing Systems , 11, 52, 39, 0.1746031746031746, 0.22, 0.19469026548672566
12, Chaotic Dynamics , 6, 69, 4, 0.08, 0.6, 0.14117647058823532
13, Cellular Automata and Lattice Gases , 1, 14, 3, 0.06666666666666667, 0.25, 0.10526315789473685
14, Pattern Formation and Solutions , 15, 93, 35, 0.1388888888888889, 0.3, 0.18987341772151897
15, Exactly Solvable and Integrable Systems , 21, 33, 29, 0.3888888888888889, 0.42, 0.40384615384615385
16, Nuclear Experiment , 9, 25, 41, 0.2647058823529412, 0.18, 0.21428571428571427
17, Nuclear Theory , 0, 0, 50, 0.0, 0.0, 0.0
18, Quantum Physics , 0, 0, 50, 0.0, 0.0, 0.0
19, Computer Science , 17, 6, 33, 0.7391304347826086, 0.34, 0.4657534246575342
20, Mathematics , 10, 9, 40, 0.5263157894736842, 0.2, 0.28985507246376807
21, Quantitative Biology , 8, 7, 42, 0.5333333333333333, 0.16, 0.24615384615384614
