category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 192, 721, 682, 0.21029572836801752, 0.21967963386727687, 0.21488528259653047
-1, macroaverage, 192, 721, , 682, 0.19149712615028872, 0.20363636363636362, 0.19738027488945115
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 3, 310, 7, 0.009584664536741214, 0.3, 0.018575851393188854
2, Astrophysics , 25, 16, 25, 0.6097560975609756, 0.5, 0.5494505494505494
3, Condensed Matter , 1, 12, 9, 0.07692307692307693, 0.1, 0.08695652173913043
4, General Relativity and Quantum Cosmology , 9, 4, 41, 0.6923076923076923, 0.18, 0.28571428571428575
5, High Energy Physics - Experiment , 0, 0, 50, 0.0, 0.0, 0.0
6, High Energy Physics - Lattice , 0, 0, 50, 0.0, 0.0, 0.0
7, High Energy Physics - Phenomenology , 0, 0, 50, 0.0, 0.0, 0.0
8, High Energy Physics - Theory , 0, 0, 50, 0.0, 0.0, 0.0
9, Mathematical Physics , 0, 0, 40, 0.0, 0.0, 0.0
10, Nonlinear Sciences , 3, 46, 47, 0.061224489795918366, 0.06, 0.06060606060606061
11, Adaption and Self-Organizing Systems , 0, 0, 50, 0.0, 0.0, 0.0
12, Chaotic Dynamics , 4, 71, 6, 0.05333333333333334, 0.4, 0.09411764705882353
13, Cellular Automata and Lattice Gases , 0, 1, 4, 0.0, 0.0, 0.0
14, Pattern Formation and Solutions , 8, 6, 42, 0.5714285714285714, 0.16, 0.25
15, Exactly Solvable and Integrable Systems , 4, 10, 46, 0.2857142857142857, 0.08, 0.125
16, Nuclear Experiment , 39, 58, 11, 0.4020618556701031, 0.78, 0.5306122448979592
17, Nuclear Theory , 22, 47, 28, 0.3188405797101449, 0.44, 0.3697478991596638
18, Quantum Physics , 0, 0, 50, 0.0, 0.0, 0.0
19, Computer Science , 34, 37, 16, 0.4788732394366197, 0.68, 0.5619834710743802
20, Mathematics , 33, 92, 17, 0.264, 0.66, 0.3771428571428571
21, Quantitative Biology , 7, 11, 43, 0.3888888888888889, 0.14, 0.20588235294117646
