category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 143, 770, 731, 0.1566265060240964, 0.16361556064073227, 0.1600447677672076
-1, macroaverage, 143, 770, 731, 0.22436855485907148, 0.1780952380952381, 0.19857175675550642
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 6, 382, 4, 0.015463917525773196, 0.6, 0.03015075376884422
2, Astrophysics , 15, 0, 35, 1.0, 0.3, 0.4615384615384615
3, Condensed Matter , 0, 0, 10, 0.0, 0.0, 0.0
4, General Relativity and Quantum Cosmology , 0, 0, 50, 0.0, 0.0, 0.0
5, High Energy Physics - Experiment , 26, 91, 24, 0.2222222222222222, 0.52, 0.311377245508982
6, High Energy Physics - Lattice , 0, 5, 50, 0.0, 0.0, 0.0
7, High Energy Physics - Phenomenology , 4, 7, 46, 0.36363636363636365, 0.08, 0.13114754098360654
8, High Energy Physics - Theory , 1, 44, 49, 0.022222222222222223, 0.02, 0.021052631578947368
9, Mathematical Physics , 0, 0, 40, 0.0, 0.0, 0.0
10, Nonlinear Sciences , 4, 46, 46, 0.08, 0.08, 0.08
11, Adaption and Self-Organizing Systems , 0, 0, 50, 0.0, 0.0, 0.0
12, Chaotic Dynamics , 5, 76, 5, 0.06172839506172839, 0.5, 0.10989010989010987
13, Cellular Automata and Lattice Gases , 0, 0, 4, 0.0, 0.0, 0.0
14, Pattern Formation and Solutions , 5, 4, 45, 0.5555555555555556, 0.1, 0.16949152542372883
15, Exactly Solvable and Integrable Systems , 1, 1, 49, 0.5, 0.02, 0.038461538461538464
16, Nuclear Experiment , 2, 5, 48, 0.2857142857142857, 0.04, 0.07017543859649124
17, Nuclear Theory , 3, 8, 47, 0.2727272727272727, 0.06, 0.09836065573770492
18, Quantum Physics , 0, 0, 50, 0.0, 0.0, 0.0
19, Computer Science , 36, 16, 14, 0.6923076923076923, 0.72, 0.7058823529411765
20, Mathematics , 30, 76, 20, 0.2830188679245283, 0.6, 0.3846153846153846
21, Quantitative Biology , 5, 9, 45, 0.35714285714285715, 0.1, 0.15625
