category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 159, 754, 715, 0.1741511500547645, 0.18192219679633867, 0.17795187465025183
-1, macroaverage, 159, 754, 715, 0.25390301402734367, 0.18190476190476193, 0.21195660042899606
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 3, 290, 7, 0.010238907849829351, 0.3, 0.019801980198019802
2, Astrophysics , 17, 1, 33, 0.9444444444444444, 0.34, 0.5
3, Condensed Matter , 0, 0, 10, 0.0, 0.0, 0.0
4, General Relativity and Quantum Cosmology , 0, 0, 50, 0.0, 0.0, 0.0
5, High Energy Physics - Experiment , 0, 0, 50, 0.0, 0.0, 0.0
6, High Energy Physics - Lattice , 0, 0, 50, 0.0, 0.0, 0.0
7, High Energy Physics - Phenomenology , 8, 13, 42, 0.38095238095238093, 0.16, 0.22535211267605634
8, High Energy Physics - Theory , 0, 0, 50, 0.0, 0.0, 0.0
9, Mathematical Physics , 0, 0, 40, 0.0, 0.0, 0.0
10, Nonlinear Sciences , 1, 10, 49, 0.09090909090909091, 0.02, 0.032786885245901634
11, Adaption and Self-Organizing Systems , 0, 0, 50, 0.0, 0.0, 0.0
12, Chaotic Dynamics , 5, 67, 5, 0.06944444444444445, 0.5, 0.12195121951219513
13, Cellular Automata and Lattice Gases , 0, 0, 4, 0.0, 0.0, 0.0
14, Pattern Formation and Solutions , 4, 3, 46, 0.5714285714285714, 0.08, 0.14035087719298248
15, Exactly Solvable and Integrable Systems , 3, 6, 47, 0.3333333333333333, 0.06, 0.10169491525423728
16, Nuclear Experiment , 2, 1, 48, 0.6666666666666666, 0.04, 0.07547169811320754
17, Nuclear Theory , 5, 6, 45, 0.45454545454545453, 0.1, 0.16393442622950818
18, Quantum Physics , 42, 273, 8, 0.13333333333333333, 0.84, 0.23013698630136986
19, Computer Science , 34, 16, 16, 0.68, 0.68, 0.68
20, Mathematics , 33, 67, 17, 0.33, 0.66, 0.44000000000000006
21, Quantitative Biology , 2, 1, 48, 0.6666666666666666, 0.04, 0.07547169811320754
