category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 200, 713, 674, 0.21905805038335158, 0.2288329519450801, 0.2238388360380526
-1, macroaverage, 200, 713, 674, 0.3089759688784861, 0.25047619047619046, 0.2766675303305405
0, arXiv , 0, 0, 0, 0.0, 0.0, 0.0
1, Physics , 5, 316, 5, 0.01557632398753894, 0.5, 0.030211480362537763
2, Astrophysics , 28, 13, 22, 0.6829268292682927, 0.56, 0.6153846153846154
3, Condensed Matter , 0, 1, 10, 0.0, 0.0, 0.0
4, General Relativity and Quantum Cosmology , 8, 0, 42, 1.0, 0.16, 0.2758620689655173
5, High Energy Physics - Experiment , 22, 68, 28, 0.24444444444444444, 0.44, 0.3142857142857143
6, High Energy Physics - Lattice , 19, 49, 31, 0.27941176470588236, 0.38, 0.3220338983050848
7, High Energy Physics - Phenomenology , 6, 6, 44, 0.5, 0.12, 0.1935483870967742
8, High Energy Physics - Theory , 10, 45, 40, 0.18181818181818182, 0.2, 0.1904761904761905
9, Mathematical Physics , 0, 0, 40, 0.0, 0.0, 0.0
10, Nonlinear Sciences , 1, 6, 49, 0.14285714285714285, 0.02, 0.03508771929824562
11, Adaption and Self-Organizing Systems , 0, 0, 50, 0.0, 0.0, 0.0
12, Chaotic Dynamics , 5, 68, 5, 0.0684931506849315, 0.5, 0.12048192771084336
13, Cellular Automata and Lattice Gases , 2, 1, 2, 0.6666666666666666, 0.5, 0.5714285714285715
14, Pattern Formation and Solutions , 13, 7, 37, 0.65, 0.26, 0.37142857142857144
15, Exactly Solvable and Integrable Systems , 2, 9, 48, 0.18181818181818182, 0.04, 0.06557377049180327
16, Nuclear Experiment , 2, 5, 48, 0.2857142857142857, 0.04, 0.07017543859649124
17, Nuclear Theory , 3, 6, 47, 0.3333333333333333, 0.06, 0.10169491525423728
18, Quantum Physics , 0, 0, 50, 0.0, 0.0, 0.0
19, Computer Science , 37, 41, 13, 0.47435897435897434, 0.74, 0.578125
20, Mathematics , 32, 66, 18, 0.32653061224489793, 0.64, 0.43243243243243235
21, Quantitative Biology , 5, 6, 45, 0.45454545454545453, 0.1, 0.16393442622950818
