category id, category name, TP, FP, FN, precision, recall, F1
-2, microaverage, 77, 472, 3086, 0.14025500910746813, 0.024343977236800506, 0.04148706896551724
-1, macroaverage, 77, 472, 3086, 0.04255599472990778, 0.04076635924462011, 0.04164195768405523
0, citeulike180 , 0, 0, 0, 0.0, 0.0, 0.0
1, motifs , 0, 0, 7, 0.0, 0.0, 0.0
2, networks , 0, 2, 38, 0.0, 0.0, 0.0
3, original , 0, 0, 1, 0.0, 0.0, 0.0
4, yeast , 0, 1, 16, 0.0, 0.0, 0.0
5, datasets , 0, 0, 1, 0.0, 0.0, 0.0
6, robustness , 0, 0, 2, 0.0, 0.0, 0.0
7, engineering , 0, 0, 1, 0.0, 0.0, 0.0
8, control , 0, 1, 3, 0.0, 0.0, 0.0
9, review , 0, 0, 23, 0.0, 0.0, 0.0
10, survey , 0, 0, 2, 0.0, 0.0, 0.0
11, strogatz , 0, 0, 1, 0.0, 0.0, 0.0
12, navigation , 0, 0, 1, 0.0, 0.0, 0.0
13, citeulike , 0, 0, 2, 0.0, 0.0, 0.0
14, dynamics , 0, 0, 7, 0.0, 0.0, 0.0
15, social bookmarking , 0, 1, 1, 0.0, 0.0, 0.0
16, social networks , 0, 2, 9, 0.0, 0.0, 0.0
17, email , 0, 1, 2, 0.0, 0.0, 0.0
18, search , 0, 0, 5, 0.0, 0.0, 0.0
19, sysbio , 0, 0, 8, 0.0, 0.0, 0.0
20, small world , 0, 1, 5, 0.0, 0.0, 0.0
21, similarity , 0, 0, 2, 0.0, 0.0, 0.0
22, complexity , 0, 0, 12, 0.0, 0.0, 0.0
23, clustering , 0, 0, 8, 0.0, 0.0, 0.0
24, microarray , 0, 0, 15, 0.0, 0.0, 0.0
25, method , 0, 0, 6, 0.0, 0.0, 0.0
26, blast , 0, 0, 2, 0.0, 0.0, 0.0
27, sequence , 0, 0, 8, 0.0, 0.0, 0.0
28, dna , 0, 0, 8, 0.0, 0.0, 0.0
29, normalization , 0, 0, 1, 0.0, 0.0, 0.0
30, rma , 0, 0, 1, 0.0, 0.0, 0.0
31, genotype phenotype , 0, 0, 1, 0.0, 0.0, 0.0
32, gene expression , 0, 0, 20, 0.0, 0.0, 0.0
33, text mining , 0, 0, 2, 0.0, 0.0, 0.0
34, human , 0, 0, 21, 0.0, 0.0, 0.0
35, whole genome , 0, 1, 3, 0.0, 0.0, 0.0
36, unsupervised learning , 0, 0, 1, 0.0, 0.0, 0.0
37, nlp , 0, 0, 3, 0.0, 0.0, 0.0
38, media , 0, 0, 2, 0.0, 0.0, 0.0
39, credibility , 0, 0, 1, 0.0, 0.0, 0.0
40, citation context , 0, 0, 1, 0.0, 0.0, 0.0
41, ultraconserved , 0, 0, 1, 0.0, 0.0, 0.0
42, uce , 0, 0, 1, 0.0, 0.0, 0.0
43, genome , 0, 0, 26, 0.0, 0.0, 0.0
44, phenotype , 0, 0, 2, 0.0, 0.0, 0.0
45, genetics , 0, 0, 16, 0.0, 0.0, 0.0
46, variation , 0, 2, 4, 0.0, 0.0, 0.0
47, population dynamics , 0, 0, 1, 0.0, 0.0, 0.0
48, population , 0, 0, 2, 0.0, 0.0, 0.0
49, systemsbiology , 0, 0, 5, 0.0, 0.0, 0.0
50, popcorn , 0, 1, 2, 0.0, 0.0, 0.0
51, alignment , 0, 0, 8, 0.0, 0.0, 0.0
52, phyloalignment , 0, 0, 1, 0.0, 0.0, 0.0
53, test , 0, 0, 1, 0.0, 0.0, 0.0
54, phylogeny , 1, 0, 4, 1.0, 0.2, 0.33333333333333337
55, evolution , 0, 0, 49, 0.0, 0.0, 0.0
56, protein evolution , 0, 1, 1, 0.0, 0.0, 0.0
57, selection , 0, 0, 6, 0.0, 0.0, 0.0
58, conserved , 0, 0, 3, 0.0, 0.0, 0.0
59, protein structure , 0, 1, 6, 0.0, 0.0, 0.0
60, statistical coupling analysis , 0, 0, 1, 0.0, 0.0, 0.0
61, correlated mutations , 0, 0, 1, 0.0, 0.0, 0.0
62, protein sequence , 0, 1, 1, 0.0, 0.0, 0.0
63, comparative modeling , 0, 0, 2, 0.0, 0.0, 0.0
64, protein interaction , 0, 0, 1, 0.0, 0.0, 0.0
65, pca , 0, 0, 1, 0.0, 0.0, 0.0
